family_pop,label,stamp,population,opponents,final_best,final_best_pct_of_max,best_start,improvement,gen_95pct_best
shade-like-10,SHADE koewol.-10,04242026-021048,10,19,1757.0,51.37426900584795,1446.0,311.0,1
shade-like-10,SHADE koewol.-10,04242026-111528,10,19,1778.0,51.98830409356725,1248.0,530.0,1
shade-like-15,SHADE koewol.-15,04242026-202035,15,29,2701.0,51.74329501915709,2071.0,630.0,1
shade-like-15,SHADE koewol.-15,04252026-051437,15,29,2716.0,52.03065134099617,1943.0,773.0,1
shade-like-5,SHADE koewol.-5,04232026-072115,5,9,848.0,52.345679012345684,550.0,298.0,1
shade-like-5,SHADE koewol.-5,04232026-164618,5,9,833.0,51.41975308641975,606.0,227.0,1
shade-pure-10,SHADE HoF-10,04212026-164657,10,19,1777.0,51.95906432748538,904.0,873.0,22
shade-pure-10,SHADE HoF-10,04222026-021942,10,19,1797.0,52.5438596491228,1291.0,506.0,2
shade-pure-15,SHADE HoF-15,04222026-121216,15,29,2737.0,52.43295019157088,1973.0,764.0,4
shade-pure-15,SHADE HoF-15,04222026-215407,15,29,2719.0,52.088122605363985,2390.0,329.0,1
shade-pure-5,SHADE HoF-5,04202026-215116,5,9,845.0,52.160493827160494,765.0,80.0,2
shade-pure-5,SHADE HoF-5,04212026-071839,5,9,842.0,51.9753086419753,360.0,482.0,9
