agent,weight_name,value,abs_value,group,rank
bazowy 21,BSR,0.9992499787102538,0.9992499787102538,top,1
bazowy 21,MHW,0.9940112799333468,0.9940112799333468,top,2
bazowy 21,BMK,0.979885043167778,0.979885043167778,top,3
bazowy 21,BMA,0.5922628026957973,0.5922628026957973,top,4
bazowy 21,MHT,0.5910956247318075,0.5910956247318075,top,5
bazowy 21,HAR,0.5797703731090512,0.5797703731090512,top,6
bazowy 21,MA,0.5546510828519664,0.5546510828519664,top,7
bazowy 21,MH,0.35257052415620643,0.35257052415620643,top,8
bazowy 21,BMR,0.04940689748699514,0.04940689748699514,bottom,1
bazowy 21,MHD,0.028535769978969353,0.028535769978969353,bottom,2
bazowy 21,MR,0.016295955282382986,0.016295955282382986,bottom,3
bazowy 21,MHC,0.013247290549783193,0.013247290549783193,bottom,4
bazowy 21,MM,0.004533746245253385,0.004533746245253385,bottom,5
28 parametrów,Smok,0.9991954558130066,0.9991954558130066,top,1
28 parametrów,HAR,0.9751890425322991,0.9751890425322991,top,2
28 parametrów,MHW,0.962724869309368,0.962724869309368,top,3
28 parametrów,BMK,0.9372896316311875,0.9372896316311875,top,4
28 parametrów,MHT,0.8990291045433669,0.8990291045433669,top,5
28 parametrów,Zak,0.8969466468849425,0.8969466468849425,top,6
28 parametrów,MHDS,0.8948589418162978,0.8948589418162978,top,7
28 parametrów,Br,0.863985848216938,0.863985848216938,top,8
28 parametrów,BMHR,0.11015152721511043,0.11015152721511043,bottom,1
28 parametrów,BMAR,0.09954764580357414,0.09954764580357414,bottom,2
28 parametrów,MR,0.08049373858325869,0.08049373858325869,bottom,3
28 parametrów,MHP,0.04720770631584091,0.04720770631584091,bottom,4
28 parametrów,Reka,0.012750332591483199,0.012750332591483199,bottom,5
28 znormalizowany,BMHR,0.996983545544919,0.996983545544919,top,1
28 znormalizowany,MA,0.9429404590937509,0.9429404590937509,top,2
28 znormalizowany,BMK,0.9252002173274928,0.9252002173274928,top,3
28 znormalizowany,HHR,0.9102355616195634,0.9102355616195634,top,4
28 znormalizowany,MH,0.8251627700655848,0.8251627700655848,top,5
28 znormalizowany,MHC,0.796430796712351,0.796430796712351,top,6
28 znormalizowany,MHI,0.6584796520501854,0.6584796520501854,top,7
28 znormalizowany,BMA,0.6497234296249836,0.6497234296249836,top,8
28 znormalizowany,MHLS,0.13936509543446118,0.13936509543446118,bottom,1
28 znormalizowany,MHT,0.12819812628590652,0.12819812628590652,bottom,2
28 znormalizowany,MR,0.11140831672558846,0.11140831672558846,bottom,3
28 znormalizowany,Reka,0.06798406135441017,0.06798406135441017,bottom,4
28 znormalizowany,Jade,0.056286479615454216,0.056286479615454216,bottom,5
63 parametry,BMAR_1,0.9927421675101953,0.9927421675101953,top,1
63 parametry,BMA_2,0.9881459698601915,0.9881459698601915,top,2
63 parametry,BSR_1,0.9879235919214232,0.9879235919214232,top,3
63 parametry,MA_2,0.9829554333278849,0.9829554333278849,top,4
63 parametry,HHR_3,0.9798542098863101,0.9798542098863101,top,5
63 parametry,MHD_3,0.9759781026608241,0.9759781026608241,top,6
63 parametry,MA_1,0.9726705245637128,0.9726705245637128,top,7
63 parametry,MHT_2,0.9678296314980032,0.9678296314980032,top,8
63 parametry,MHLS_2,0.03405763622360679,0.03405763622360679,bottom,1
63 parametry,MM_1,0.029275052857364196,0.029275052857364196,bottom,2
63 parametry,HHR_1,0.02336563516230372,0.02336563516230372,bottom,3
63 parametry,HHR_2,0.006468937372623887,0.006468937372623887,bottom,4
63 parametry,BMR_3,0.0003621471798441484,0.0003621471798441484,bottom,5
63 płynny,BMK_2,1.0,1.0,top,1
63 płynny,MHW_3,1.0,1.0,top,2
63 płynny,MHDS_3,1.0,1.0,top,3
63 płynny,BMK_1,0.9989216721635362,0.9989216721635362,top,4
63 płynny,MHDS_1,0.9944731780409878,0.9944731780409878,top,5
63 płynny,HAR_3,0.9911955209545935,0.9911955209545935,top,6
63 płynny,MHW_2,0.971296150092428,0.971296150092428,top,7
63 płynny,MHDS_2,0.9676674766318893,0.9676674766318893,top,8
63 płynny,BMHR_1,0.006829367809231868,0.006829367809231868,bottom,1
63 płynny,MHT_2,0.0,0.0,bottom,2
63 płynny,MR_2,0.0,0.0,bottom,3
63 płynny,BMR_3,0.0,0.0,bottom,4
63 płynny,MR_3,0.0,0.0,bottom,5
21 głębokościowy,BSR,0.9845672964122332,0.9845672964122332,top,1
21 głębokościowy,BMK,0.9386770200239738,0.9386770200239738,top,2
21 głębokościowy,HAR,0.9199767366588426,0.9199767366588426,top,3
21 głębokościowy,MA,0.9189082671287258,0.9189082671287258,top,4
21 głębokościowy,MHT,0.8588883776338316,0.8588883776338316,top,5
21 głębokościowy,MHP,0.8543568905516958,0.8543568905516958,top,6
21 głębokościowy,MHS,0.8381219843615074,0.8381219843615074,top,7
21 głębokościowy,MHW,0.8318600847113204,0.8318600847113204,top,8
21 głębokościowy,BMAR,0.12448274135600074,0.12448274135600074,bottom,1
21 głębokościowy,BMHR,0.08995666093981902,0.08995666093981902,bottom,2
21 głębokościowy,MHDS,0.08753484473823436,0.08753484473823436,bottom,3
21 głębokościowy,MR,0.07871283419438468,0.07871283419438468,bottom,4
21 głębokościowy,BMR,0.07639886625862823,0.07639886625862823,bottom,5
