agent_a,agent_b,cosine_distance,l2_distance,corr_distance
28 parametrów,21 głębokościowy,0.12779564032776636,1.558660122741031,0.5469987864941666
bazowy 21,28 parametrów,0.13216660904735078,1.4990443633526456,0.3124782127927547
bazowy 21,21 głębokościowy,0.1488620243463633,1.7375070938762471,0.3624834093049435
63 parametry,21 głębokościowy,0.17245493146784663,1.783186857585645,0.5566784766124441
28 parametrów,63 płynny,0.17306534432758403,1.694328286689079,0.5103045941828834
28 znormalizowany,63 płynny,0.18060673123341908,1.6731986476882712,0.5378253742207535
28 znormalizowany,21 głębokościowy,0.20224983301904342,1.9229320454825816,0.8784586344140866
28 parametrów,28 znormalizowany,0.20964848429255878,1.8476720202288404,0.9002503998010359
bazowy 21,63 parametry,0.22254422815266883,1.732451206359168,0.5293759588059399
28 parametrów,63 parametry,0.22271958958812998,1.9048475044315847,0.724666350507928
63 płynny,21 głębokościowy,0.2394980753048659,2.096485262580094,0.7305625204027497
28 znormalizowany,63 parametry,0.2983418279932304,2.1252859400899458,0.9925695846807561
bazowy 21,63 płynny,0.3122354826442736,2.05932099224648,0.7198343528763622
bazowy 21,28 znormalizowany,0.3440561644683936,2.111311183382129,0.9612031870740563
63 parametry,63 płynny,0.4020933020444689,2.497239143074449,1.04865772868465
