tryb_projekcji,agent_a,agent_b,odleglosc_cosinusowa,odleglosc_l2,odleglosc_korelacyjna
projekcja: faza 1,28 parametrów,21 głębokościowy,0.12779564032776636,1.558660122741031,0.5469987864941666
projekcja: faza 1,bazowy 21,28 parametrów,0.13216660904735078,1.4990443633526456,0.3124782127927547
projekcja: faza 1,bazowy 21,21 głębokościowy,0.1488620243463633,1.7375070938762471,0.3624834093049435
projekcja: faza 1,63 parametry,21 głębokościowy,0.17245493146784663,1.783186857585645,0.5566784766124441
projekcja: faza 1,28 parametrów,63 płynny,0.17306534432758403,1.694328286689079,0.5103045941828834
projekcja: faza 1,28 znormalizowany,63 płynny,0.18060673123341908,1.6731986476882712,0.5378253742207535
projekcja: faza 1,28 znormalizowany,21 głębokościowy,0.20224983301904342,1.9229320454825816,0.8784586344140866
projekcja: faza 1,28 parametrów,28 znormalizowany,0.20964848429255878,1.8476720202288404,0.9002503998010359
projekcja: faza 1,bazowy 21,63 parametry,0.22254422815266883,1.732451206359168,0.5293759588059399
projekcja: faza 1,28 parametrów,63 parametry,0.22271958958812998,1.9048475044315847,0.724666350507928
projekcja: faza 1,63 płynny,21 głębokościowy,0.2394980753048659,2.096485262580094,0.7305625204027497
projekcja: faza 1,28 znormalizowany,63 parametry,0.2983418279932304,2.1252859400899458,0.9925695846807561
projekcja: faza 1,bazowy 21,63 płynny,0.3122354826442736,2.05932099224648,0.7198343528763622
projekcja: faza 1,bazowy 21,28 znormalizowany,0.3440561644683936,2.111311183382129,0.9612031870740563
projekcja: faza 1,63 parametry,63 płynny,0.4020933020444689,2.497239143074449,1.04865772868465
projekcja: faza 2,28 parametrów,21 głębokościowy,0.12779564032776636,1.558660122741031,0.5469987864941666
projekcja: faza 2,bazowy 21,28 parametrów,0.13216660904735078,1.4990443633526456,0.3124782127927547
projekcja: faza 2,28 parametrów,63 parametry,0.14816703993358282,1.6819603329806598,0.5914367406300208
projekcja: faza 2,bazowy 21,21 głębokościowy,0.1488620243463633,1.7375070938762471,0.3624834093049435
projekcja: faza 2,28 parametrów,63 płynny,0.1492172125861575,1.5815941990724993,0.4697153075251601
projekcja: faza 2,63 parametry,21 głębokościowy,0.15631265247713833,1.7755242508048967,0.6302600357890049
projekcja: faza 2,28 znormalizowany,63 płynny,0.15810051711001805,1.5775350415164355,0.5030216113002962
projekcja: faza 2,28 znormalizowany,21 głębokościowy,0.20224983301904342,1.9229320454825816,0.8784586344140866
projekcja: faza 2,28 parametrów,28 znormalizowany,0.20964848429255878,1.8476720202288404,0.9002503998010359
projekcja: faza 2,bazowy 21,63 parametry,0.21263232739166937,1.987393222344063,0.5462584425667314
projekcja: faza 2,63 płynny,21 głębokościowy,0.21412873572858726,1.9918906094564484,0.6942370276989249
projekcja: faza 2,63 parametry,63 płynny,0.25240450291943983,2.165978843074807,0.7883584234806682
projekcja: faza 2,28 znormalizowany,63 parametry,0.2637195736394534,2.1918528980928635,1.0685140225360326
projekcja: faza 2,bazowy 21,63 płynny,0.28995952828556704,2.0144327599194796,0.6905764257104473
projekcja: faza 2,bazowy 21,28 znormalizowany,0.3440561644683936,2.111311183382129,0.9612031870740563
projekcja: faza 3,28 parametrów,63 płynny,0.1234155023883432,1.4303651197724263,0.39603220768032377
projekcja: faza 3,28 parametrów,21 głębokościowy,0.12779564032776636,1.558660122741031,0.5469987864941666
projekcja: faza 3,bazowy 21,28 parametrów,0.13216660904735078,1.4990443633526456,0.3124782127927547
projekcja: faza 3,bazowy 21,21 głębokościowy,0.1488620243463633,1.7375070938762471,0.3624834093049435
projekcja: faza 3,28 znormalizowany,63 płynny,0.1497409737429959,1.5203973345432038,0.4901906243129339
projekcja: faza 3,28 parametrów,63 parametry,0.17249154938556344,1.7239504804469168,0.5844488264446079
projekcja: faza 3,63 parametry,21 głębokościowy,0.18871318213618005,1.8881483203407163,0.6462752040892475
projekcja: faza 3,28 znormalizowany,21 głębokościowy,0.20224983301904342,1.9229320454825816,0.8784586344140866
projekcja: faza 3,63 płynny,21 głębokościowy,0.20923061282640154,1.9618597572440115,0.6970232350753873
projekcja: faza 3,28 parametrów,28 znormalizowany,0.20964848429255878,1.8476720202288404,0.9002503998010359
projekcja: faza 3,28 znormalizowany,63 parametry,0.23059496117976097,1.9392340135001875,0.7973762859447043
projekcja: faza 3,bazowy 21,63 płynny,0.27035071382343545,1.9229135586072639,0.6515866646672142
projekcja: faza 3,63 parametry,63 płynny,0.28388401841491506,2.1667592020311477,0.815202710928161
projekcja: faza 3,bazowy 21,63 parametry,0.3251347201015331,2.1780531707103443,0.7990741503546885
projekcja: faza 3,bazowy 21,28 znormalizowany,0.3440561644683936,2.111311183382129,0.9612031870740563
projekcja: średnia faz,63 parametry,21 głębokościowy,0.11072228959962849,1.4501201010597193,0.4938499167284641
projekcja: średnia faz,28 parametrów,63 parametry,0.11856628724550067,1.395306291884477,0.5224042166563868
projekcja: średnia faz,28 parametrów,21 głębokościowy,0.12779564032776636,1.558660122741031,0.5469987864941666
projekcja: średnia faz,bazowy 21,28 parametrów,0.13216660904735078,1.4990443633526456,0.3124782127927547
projekcja: średnia faz,28 parametrów,63 płynny,0.1460771387608576,1.5573256683119359,0.45590639383860654
projekcja: średnia faz,bazowy 21,21 głębokościowy,0.1488620243463633,1.7375070938762471,0.3624834093049435
projekcja: średnia faz,28 znormalizowany,63 płynny,0.1603309621525586,1.5766499673672798,0.507217786319305
projekcja: średnia faz,bazowy 21,63 parametry,0.19761887887440321,1.643799838352211,0.514437068873414
projekcja: średnia faz,28 znormalizowany,21 głębokościowy,0.20224983301904342,1.9229320454825816,0.8784586344140866
projekcja: średnia faz,28 znormalizowany,63 parametry,0.20894422281693814,1.778846735178213,0.9356338328911085
projekcja: średnia faz,28 parametrów,28 znormalizowany,0.20964848429255878,1.8476720202288404,0.9002503998010359
projekcja: średnia faz,63 płynny,21 głębokościowy,0.21862896292007516,2.0057774174804286,0.7054523127049184
projekcja: średnia faz,63 parametry,63 płynny,0.2585123104323048,2.002954333604266,0.8585586494040266
projekcja: średnia faz,bazowy 21,63 płynny,0.28876891797003457,1.9877957330749574,0.6857499484445253
projekcja: średnia faz,bazowy 21,28 znormalizowany,0.3440561644683936,2.111311183382129,0.9612031870740563
