generation, mean_f, mean_cr
0, 0.5000, 0.5000
1, 0.5091, 0.4675
2, 0.5127, 0.4597
3, 0.5423, 0.4802
4, 0.5280, 0.5115
5, 0.5505, 0.5027
6, 0.5475, 0.4988
7, 0.5476, 0.5010
8, 0.5455, 0.4989
9, 0.5477, 0.5040
10, 0.5465, 0.4928
11, 0.5475, 0.4892
12, 0.5459, 0.4917
13, 0.5482, 0.4980
14, 0.5389, 0.5026
15, 0.5415, 0.4953
16, 0.5438, 0.4934
17, 0.5434, 0.5062
18, 0.5422, 0.5029
19, 0.5518, 0.4907
20, 0.5437, 0.4846
21, 0.5420, 0.4887
22, 0.5428, 0.4803
23, 0.5422, 0.4740
24, 0.5372, 0.4761
25, 0.5399, 0.4847
26, 0.5451, 0.4946
27, 0.5500, 0.4982
28, 0.5480, 0.4940
29, 0.5548, 0.5002
30, 0.5553, 0.5084
31, 0.5594, 0.5097
32, 0.5618, 0.5016
33, 0.5649, 0.5012
34, 0.5668, 0.4973
35, 0.5667, 0.5038
36, 0.5854, 0.5011
37, 0.5864, 0.5008
38, 0.5917, 0.5123
39, 0.5956, 0.5088
40, 0.5970, 0.5070
41, 0.5967, 0.4997
42, 0.5952, 0.4930
43, 0.5930, 0.4955
