generation, mean_f, mean_cr
0, 0.5000, 0.5000
1, 0.5739, 0.4449
2, 0.5252, 0.4560
3, 0.5203, 0.5096
4, 0.5168, 0.4993
5, 0.5140, 0.5195
6, 0.5136, 0.5077
7, 0.5285, 0.5148
8, 0.5308, 0.5097
9, 0.5284, 0.4968
10, 0.5285, 0.4993
11, 0.5302, 0.5049
12, 0.5240, 0.5066
13, 0.5286, 0.5023
14, 0.5263, 0.4997
15, 0.5226, 0.5029
16, 0.5178, 0.5103
17, 0.5180, 0.5120
18, 0.5188, 0.5046
19, 0.5309, 0.5129
20, 0.5278, 0.5081
21, 0.5256, 0.5101
22, 0.5248, 0.5064
23, 0.5267, 0.5118
24, 0.5282, 0.5204
25, 0.5305, 0.5203
26, 0.5252, 0.5241
27, 0.5346, 0.5223
28, 0.5320, 0.5257
29, 0.5329, 0.5262
30, 0.5401, 0.5226
31, 0.5473, 0.5183
32, 0.5555, 0.5156
33, 0.5592, 0.5191
34, 0.5462, 0.5185
35, 0.5467, 0.5139
36, 0.5495, 0.5162
37, 0.5517, 0.5183
38, 0.5555, 0.5171
39, 0.5592, 0.5157
40, 0.5530, 0.5116
41, 0.5601, 0.5043
42, 0.5623, 0.5054
43, 0.5593, 0.5077
