0
VICTORIES
0 168 157 131 144 177 137 173 177 116 115 137 176 151 127  TOTAL: 2086
12 0 57 43 60 144 40 119 136 20 17 37 130 39 17  TOTAL: 871
23 123 0 71 91 154 61 151 147 39 35 53 145 84 36  TOTAL: 1213
49 137 109 0 112 169 69 152 161 42 58 71 163 85 62  TOTAL: 1439
36 120 89 68 0 159 76 139 152 48 56 58 150 83 65  TOTAL: 1299
3 36 26 11 21 0 22 62 86 6 7 14 48 11 13  TOTAL: 366
43 140 119 111 104 158 0 155 155 51 58 91 162 109 70  TOTAL: 1526
7 61 29 28 41 118 25 0 110 16 12 22 110 28 23  TOTAL: 630
3 44 33 19 28 94 25 70 0 11 12 14 77 20 14  TOTAL: 464
64 160 141 138 132 174 129 164 169 0 75 117 173 118 102  TOTAL: 1856
65 163 145 122 124 173 122 168 168 105 0 108 172 123 99  TOTAL: 1857
43 143 127 109 122 166 89 158 166 63 72 0 164 105 74  TOTAL: 1601
4 50 35 17 30 132 18 70 103 7 8 16 0 20 7  TOTAL: 517
29 141 96 95 97 169 71 152 160 62 57 75 160 0 51  TOTAL: 1415
53 163 144 118 115 167 110 157 166 78 81 106 173 129 0  TOTAL: 1760

TURNS_WIN
0 19.46 17.76 18.44 20.18 15.84 17.57 18.98 17.66 19.82 21.55 20.34 16.21 20.13 19.45  TOTAL: 263.38269983014516
21.67 0 16.30 20.79 24.82 19.11 17.23 24.51 22.48 20.15 21.88 19.81 18.82 21.00 21.29  TOTAL: 289.8592922735086
20.96 19.19 0 19.11 20.27 16.09 18.08 20.05 18.03 19.44 20.54 19.89 16.68 19.63 18.89  TOTAL: 266.8455066664997
16.73 16.78 15.73 0 17.62 14.75 16.71 17.26 16.99 16.50 16.69 17.76 16.02 17.00 17.26  TOTAL: 233.8043359087833
20.31 19.61 15.87 16.46 0 17.23 16.30 23.21 21.19 18.10 19.73 19.62 17.99 19.16 16.22  TOTAL: 260.97908598870964
16.67 20.72 14.85 14.09 22.29 0 15.27 23.90 27.22 13.83 18.86 16.50 18.40 17.45 13.85  TOTAL: 253.89555824791196
17.53 16.54 14.27 15.87 16.56 13.79 0 16.76 15.81 14.75 17.47 16.59 14.84 17.27 16.01  TOTAL: 224.06741620427053
22.00 23.25 15.41 22.04 23.17 19.08 20.04 0 24.49 24.19 24.17 20.55 20.78 18.04 17.35  TOTAL: 294.546775356055
12.33 22.25 13.48 14.63 24.04 20.72 13.12 27.50 0 14.09 17.25 13.36 22.00 16.05 13.07  TOTAL: 243.89835982606425
21.34 17.81 16.84 17.46 19.55 14.97 16.56 17.97 16.16 0 19.51 19.42 15.57 19.14 19.49  TOTAL: 251.7885984323626
22.12 18.37 17.41 17.39 19.32 15.79 17.30 18.93 17.88 19.44 0 19.47 16.31 19.71 18.00  TOTAL: 257.4363822619821
22.88 20.12 18.72 18.79 20.48 16.48 20.03 20.51 18.74 20.06 21.51 0 17.52 21.30 21.47  TOTAL: 278.6283769411885
15.50 20.50 15.06 13.65 17.43 17.70 15.39 20.64 22.26 16.43 17.25 14.81 0 17.25 14.14  TOTAL: 238.01231523647996
22.10 20.96 18.26 20.48 23.96 17.62 18.25 21.37 19.59 21.40 21.81 21.17 17.27 0 20.45  TOTAL: 284.69833619429465
20.51 16.77 16.17 16.77 17.98 14.63 16.89 18.08 16.37 19.77 18.84 19.29 15.39 18.17 0  TOTAL: 245.644184966776

TURNS_LOSE
0 21.67 20.96 16.73 20.31 16.67 17.53 22.00 12.33 21.34 22.12 22.88 15.50 22.10 20.51  TOTAL: 272.6617516512696
19.46 0 19.19 16.78 19.61 20.72 16.54 23.25 22.25 17.81 18.37 20.12 20.50 20.96 16.77  TOTAL: 272.31934366068947
17.76 16.30 0 15.73 15.87 14.85 14.27 15.41 13.48 16.84 17.41 18.72 15.06 18.26 16.17  TOTAL: 226.1205059407444
18.44 20.79 19.11 0 16.46 14.09 15.87 22.04 14.63 17.46 17.39 18.79 13.65 20.48 16.77  TOTAL: 245.97454100695916
20.18 24.82 20.27 17.62 0 22.29 16.56 23.17 24.04 19.55 19.32 20.48 17.43 23.96 17.98  TOTAL: 287.671793933109
15.84 19.11 16.09 14.75 17.23 0 13.79 19.08 20.72 14.97 15.79 16.48 17.70 17.62 14.63  TOTAL: 233.80734213577028
17.57 17.23 18.08 16.71 16.30 15.27 0 20.04 13.12 16.56 17.30 20.03 15.39 18.25 16.89  TOTAL: 238.75025925315447
18.98 24.51 20.05 17.26 23.21 23.90 16.76 0 27.50 17.97 18.93 20.51 20.64 21.37 18.08  TOTAL: 289.66402260860275
17.66 22.48 18.03 16.99 21.19 27.22 15.81 24.49 0 16.16 17.88 18.74 22.26 19.59 16.37  TOTAL: 274.868064024518
19.82 20.15 19.44 16.50 18.10 13.83 14.75 24.19 14.09 0 19.44 20.06 16.43 21.40 19.77  TOTAL: 257.9684853891047
21.55 21.88 20.54 16.69 19.73 18.86 17.47 24.17 17.25 19.51 0 21.51 17.25 21.81 18.84  TOTAL: 277.0512402379903
20.34 19.81 19.89 17.76 19.62 16.50 16.59 20.55 13.36 19.42 19.47 0 14.81 21.17 19.29  TOTAL: 258.5799385230044
16.21 18.82 16.68 16.02 17.99 18.40 14.84 20.78 22.00 15.57 16.31 17.52 0 17.27 15.39  TOTAL: 243.80492718533785
20.13 21.00 19.63 17.00 19.16 17.45 17.27 18.04 16.05 19.14 19.71 21.30 17.25 0 18.17  TOTAL: 261.30303341443533
19.45 21.29 18.89 17.26 16.22 13.85 16.01 17.35 13.07 19.49 18.00 21.47 14.14 20.45 0  TOTAL: 246.94197537034213

HEALTH_WIN
0 23.33 19.97 16.63 19.36 22.36 14.68 25.16 26.24 17.46 18.83 20.75 23.22 22.46 17.01  TOTAL: 287.4622901290553
16.08 0 19.16 13.93 14.35 17.97 12.15 20.50 24.39 13.30 15.82 18.49 20.35 18.95 19.24  TOTAL: 244.67777222433244
16.35 22.99 0 16.20 17.13 21.34 13.64 24.22 26.15 14.74 14.80 22.79 22.03 22.04 17.33  TOTAL: 271.7466331460986
18.57 23.70 20.59 0 18.61 21.85 13.90 23.84 25.26 18.19 19.02 21.93 22.39 22.95 17.45  TOTAL: 288.25454102889313
18.31 21.99 20.99 17.18 0 20.81 15.33 23.27 24.72 17.42 17.21 19.48 21.24 20.34 16.00  TOTAL: 274.2908508832621
18.33 20.58 21.88 16.27 14.71 0 15.91 21.44 24.91 19.00 10.86 19.71 22.29 13.82 13.69  TOTAL: 253.41343131112444
17.28 23.21 21.06 17.45 18.10 22.75 0 24.25 25.47 18.96 19.03 22.47 23.43 22.48 17.81  TOTAL: 293.7532698012117
11.43 19.67 18.83 13.21 14.93 18.50 11.32 0 23.12 11.50 14.00 14.82 19.12 17.82 16.74  TOTAL: 225.004508226344
17.67 20.39 19.27 16.74 13.43 19.06 16.52 20.06 0 18.45 15.17 24.36 17.68 21.25 18.93  TOTAL: 258.96439483622015
17.69 23.96 21.91 18.32 18.42 23.89 16.19 26.53 26.63 0 19.64 23.43 24.02 22.51 18.92  TOTAL: 302.05564376419875
17.09 23.44 20.14 17.57 18.64 21.81 15.69 24.73 25.66 17.90 0 22.05 22.81 22.38 17.13  TOTAL: 287.05297531225006
14.21 21.27 17.00 15.87 17.61 21.05 12.98 23.35 25.19 14.98 15.57 0 22.85 21.12 15.15  TOTAL: 258.21268360646644
22.50 21.66 19.86 19.18 14.73 19.27 16.50 20.46 23.49 18.57 15.75 24.12 0 19.20 12.86  TOTAL: 268.1382494727812
15.52 20.28 18.55 14.22 14.78 21.51 14.07 23.59 25.91 13.45 15.53 18.16 21.73 0 16.27  TOTAL: 253.5589913308094
17.47 25.08 21.29 17.54 20.03 22.69 14.81 25.36 26.13 16.68 18.69 21.31 23.95 24.12 0  TOTAL: 295.1594088074023

HEALTH_LOSE
0 16.08 16.35 18.57 18.31 18.33 17.28 11.43 17.67 17.69 17.09 14.21 22.50 15.52 17.47  TOTAL: 238.49383425369425
23.33 0 22.99 23.70 21.99 20.58 23.21 19.67 20.39 23.96 23.44 21.27 21.66 20.28 25.08  TOTAL: 311.56700908727635
19.97 19.16 0 20.59 20.99 21.88 21.06 18.83 19.27 21.91 20.14 17.00 19.86 18.55 21.29  TOTAL: 280.5127034921043
16.63 13.93 16.20 0 17.18 16.27 17.45 13.21 16.74 18.32 17.57 15.87 19.18 14.22 17.54  TOTAL: 230.30821279187737
19.36 14.35 17.13 18.61 0 14.71 18.10 14.93 13.43 18.42 18.64 17.61 14.73 14.78 20.03  TOTAL: 234.82790427200328
22.36 17.97 21.34 21.85 20.81 0 22.75 18.50 19.06 23.89 21.81 21.05 19.27 21.51 22.69  TOTAL: 294.8566963746297
14.68 12.15 13.64 13.90 15.33 15.91 0 11.32 16.52 16.19 15.69 12.98 16.50 14.07 14.81  TOTAL: 203.6763780172147
25.16 20.50 24.22 23.84 23.27 21.44 24.25 0 20.06 26.53 24.73 23.35 20.46 23.59 25.36  TOTAL: 326.7607387402601
26.24 24.39 26.15 25.26 24.72 24.91 25.47 23.12 0 26.63 25.66 25.19 23.49 25.91 26.13  TOTAL: 353.2738221578649
17.46 13.30 14.74 18.19 17.42 19.00 18.96 11.50 18.45 0 17.90 14.98 18.57 13.45 16.68  TOTAL: 230.6143764637581
18.83 15.82 14.80 19.02 17.21 10.86 19.03 14.00 15.17 19.64 0 15.57 15.75 15.53 18.69  TOTAL: 229.91655400292225
20.75 18.49 22.79 21.93 19.48 19.71 22.47 14.82 24.36 23.43 22.05 0 24.12 18.16 21.31  TOTAL: 293.8752055601734
