generation, mean_f, mean_cr
0, 0.5000, 0.5000
1, 0.5263, 0.4815
2, 0.5371, 0.4277
3, 0.5315, 0.4532
4, 0.5237, 0.4481
5, 0.5254, 0.4503
6, 0.5346, 0.4642
7, 0.5463, 0.4662
8, 0.5435, 0.4715
9, 0.5413, 0.4741
10, 0.5603, 0.4756
11, 0.5528, 0.4737
12, 0.5524, 0.4803
13, 0.5522, 0.4814
14, 0.5541, 0.4847
15, 0.5526, 0.4899
16, 0.5541, 0.4935
17, 0.5455, 0.4975
18, 0.5508, 0.4924
19, 0.5522, 0.4937
20, 0.5432, 0.4963
21, 0.5464, 0.4928
22, 0.5464, 0.4967
23, 0.5465, 0.5022
24, 0.5479, 0.5010
25, 0.5399, 0.5005
26, 0.5519, 0.5010
27, 0.5583, 0.4937
28, 0.5618, 0.4955
29, 0.5654, 0.4993
30, 0.5677, 0.4960
31, 0.5706, 0.5004
32, 0.5798, 0.5016
33, 0.5858, 0.5006
34, 0.5867, 0.4972
35, 0.5962, 0.4933
36, 0.5978, 0.4932
37, 0.5973, 0.4896
38, 0.5994, 0.4820
39, 0.5990, 0.4833
40, 0.5969, 0.4855
41, 0.5937, 0.4841
42, 0.5998, 0.4802
43, 0.5992, 0.4725
