0
VICTORIES
0 76 180 173 180 84 178 175 174 166 179 79 180 53 123  TOTAL: 2000
104 0 180 180 180 113 180 177 178 168 180 113 180 98 157  TOTAL: 2188
0 0 0 56 102 0 67 31 61 40 91 0 106 0 3  TOTAL: 557
7 0 124 0 127 1 131 73 103 78 133 1 136 1 28  TOTAL: 943
0 0 78 53 0 0 69 24 49 31 86 0 113 0 3  TOTAL: 506
96 67 180 179 180 0 178 175 177 169 180 88 180 70 144  TOTAL: 2063
2 0 113 49 111 2 0 34 67 45 88 1 139 0 2  TOTAL: 653
5 3 149 107 156 5 146 0 126 91 139 10 159 3 24  TOTAL: 1123
6 2 119 77 131 3 113 54 0 73 111 4 143 3 11  TOTAL: 850
14 12 140 102 149 11 135 89 107 0 147 23 156 10 28  TOTAL: 1123
1 0 89 47 94 0 92 41 69 33 0 0 112 0 5  TOTAL: 583
101 67 180 179 180 92 179 170 176 157 180 0 180 84 127  TOTAL: 2052
0 0 74 44 67 0 41 21 37 24 68 0 0 0 4  TOTAL: 380
127 82 180 179 180 110 180 177 177 170 180 96 180 0 160  TOTAL: 2178
57 23 177 152 177 36 178 156 169 152 175 53 176 20 0  TOTAL: 1701

TURNS_WIN
0 19.74 14.39 19.60 14.57 17.88 15.13 16.63 15.55 16.32 15.01 16.59 13.56 19.09 19.76  TOTAL: 233.8207256658988
21.20 0 14.40 18.29 14.09 20.40 14.43 16.12 15.15 16.05 14.70 18.34 13.70 22.95 20.56  TOTAL: 240.36942956146584
0 0 0 41.14 35.20 0 33.51 30.23 35.79 35.70 38.32 0 35.19 0 38.67  TOTAL: 323.7331171889424
24.71 0 24.34 0 25.72 14.00 25.05 28.23 25.90 24.17 28.11 26.00 23.63 13.00 37.00  TOTAL: 319.8784308514461
0 0 46.36 47.55 0 0 36.01 45.46 45.51 41.13 46.84 0 41.43 0 47.33  TOTAL: 397.62237755119173
19.58 21.01 14.36 18.49 14.51 0 14.78 15.93 15.54 15.54 14.91 18.10 13.98 20.63 20.07  TOTAL: 237.41634730538215
14.50 0 32.92 44.29 29.73 16.00 0 30.74 36.87 26.89 34.59 14.00 27.07 0 46.00  TOTAL: 353.58850418302416
20.00 19.00 22.83 28.91 22.12 14.80 19.95 0 24.92 20.62 24.30 12.10 21.76 14.00 25.00  TOTAL: 290.3050791768038
16.83 15.00 27.03 33.90 25.60 15.67 22.57 21.65 0 23.16 30.29 13.75 24.50 14.67 23.64  TOTAL: 308.2410928942821
16.79 14.92 18.61 25.75 18.71 14.00 18.76 18.82 19.57 0 18.72 12.35 18.34 13.80 17.93  TOTAL: 247.06634584693498
18.00 0 34.73 41.68 37.64 0 35.48 32.95 35.14 36.79 0 0 35.44 0 38.80  TOTAL: 346.6492727206929
18.31 20.72 14.45 17.55 14.04 17.87 14.25 15.20 15.03 15.34 14.21 0 13.60 19.46 19.19  TOTAL: 229.20627458247185
0 0 48.19 48.57 48.96 0 49.71 50.29 47.57 46.71 48.46 0 0 0 40.50  TOTAL: 428.9374095006951
19.54 23.29 14.18 17.83 13.99 19.92 14.36 16.07 15.28 15.62 14.88 18.94 13.44 0 19.66  TOTAL: 236.9989480554058
20.74 21.43 16.25 21.62 15.95 17.81 16.70 17.74 17.41 17.58 17.20 16.62 15.76 20.65 0  TOTAL: 253.4608506801542

TURNS_LOSE
0 21.20 0 24.71 0 19.58 14.50 20.00 16.83 16.79 18.00 18.31 0 19.54 20.74  TOTAL: 210.20566962853636
19.74 0 0 0 0 21.01 0 19.00 15.00 14.92 0 20.72 0 23.29 21.43  TOTAL: 155.11231759103683
14.39 14.40 0 24.34 46.36 14.36 32.92 22.83 27.03 18.61 34.73 14.45 48.19 14.18 16.25  TOTAL: 343.02743564933
19.60 18.29 41.14 0 47.55 18.49 44.29 28.91 33.90 25.75 41.68 17.55 48.57 17.83 21.62  TOTAL: 425.1630950261872
14.57 14.09 35.20 25.72 0 14.51 29.73 22.12 25.60 18.71 37.64 14.04 48.96 13.99 15.95  TOTAL: 330.8347051636696
17.88 20.40 0 14.00 0 0 16.00 14.80 15.67 14.00 0 17.87 0 19.92 17.81  TOTAL: 168.3391517272433
15.13 14.43 33.51 25.05 36.01 14.78 0 19.95 22.57 18.76 35.48 14.25 49.71 14.36 16.70  TOTAL: 330.67262492103447
16.63 16.12 30.23 28.23 45.46 15.93 30.74 0 21.65 18.82 32.95 15.20 50.29 16.07 17.74  TOTAL: 356.035523159512
15.55 15.15 35.79 25.90 45.51 15.54 36.87 24.92 0 19.57 35.14 15.03 47.57 15.28 17.41  TOTAL: 365.23412591814133
16.32 16.05 35.70 24.17 41.13 15.54 26.89 20.62 23.16 0 36.79 15.34 46.71 15.62 17.58  TOTAL: 351.60646927820557
15.01 14.70 38.32 28.11 46.84 14.91 34.59 24.30 30.29 18.72 0 14.21 48.46 14.88 17.20  TOTAL: 360.5270610900346
16.59 18.34 0 26.00 0 18.10 14.00 12.10 13.75 12.35 0 0 0 18.94 16.62  TOTAL: 166.7914602183647
13.56 13.70 35.19 23.63 41.43 13.98 27.07 21.76 24.50 18.34 35.44 13.60 0 13.44 15.76  TOTAL: 311.389260367046
19.09 22.95 0 13.00 0 20.63 0 14.00 14.67 13.80 0 19.46 0 0 20.65  TOTAL: 158.25284302400206
19.76 20.56 38.67 37.00 47.33 20.07 46.00 25.00 23.64 17.93 38.80 19.19 40.50 19.66 0  TOTAL: 414.1024630024481

HEALTH_WIN
0 18.78 28.74 25.55 29.07 16.89 27.66 24.10 25.21 21.57 29.20 15.49 30.18 18.60 22.24  TOTAL: 333.2918377625732
15.91 0 29.22 28.40 29.24 17.58 28.56 25.74 26.01 23.74 29.98 15.81 30.41 16.81 23.37  TOTAL: 340.78443970220275
0 0 0 23.36 24.09 0 21.61 23.23 24.10 20.65 24.55 0 25.15 0 10.33  TOTAL: 197.06521283612886
10.57 0 26.98 0 26.31 22.00 25.08 22.59 24.26 21.81 27.13 5.00 28.38 34.00 17.39  TOTAL: 291.50071113625376
0 0 22.42 24.83 0 0 21.10 20.92 26.24 22.52 22.97 0 22.92 0 9.33  TOTAL: 193.25121213049695
15.70 18.43 29.06 27.13 28.64 0 27.75 26.00 26.33 22.37 29.67 12.58 30.43 16.61 22.81  TOTAL: 333.5130259483724
19.50 0 22.63 24.82 22.70 21.50 0 17.68 22.12 22.67 25.28 4.00 26.06 0 18.50  TOTAL: 247.45872716789208
