generation, mean_f, mean_cr
0, 0.5000, 0.5000
1, 0.5285, 0.5479
2, 0.5625, 0.5321
3, 0.5573, 0.5315
4, 0.5538, 0.5529
5, 0.5440, 0.5402
6, 0.5518, 0.5568
7, 0.5513, 0.5403
8, 0.5425, 0.5306
9, 0.5444, 0.5199
10, 0.5510, 0.5183
11, 0.5494, 0.5143
12, 0.5534, 0.5130
13, 0.5462, 0.5185
14, 0.5493, 0.5226
15, 0.5421, 0.5271
16, 0.5457, 0.5270
17, 0.5499, 0.5304
18, 0.5506, 0.5410
19, 0.5500, 0.5363
20, 0.5583, 0.5389
21, 0.5500, 0.5269
22, 0.5450, 0.5334
23, 0.5455, 0.5317
24, 0.5489, 0.5396
25, 0.5447, 0.5403
26, 0.5481, 0.5422
27, 0.5458, 0.5464
28, 0.5541, 0.5431
29, 0.5533, 0.5478
30, 0.5560, 0.5469
31, 0.5598, 0.5422
32, 0.5492, 0.5532
33, 0.5446, 0.5424
34, 0.5547, 0.5445
35, 0.5547, 0.5445
36, 0.5517, 0.5510
37, 0.5541, 0.5531
38, 0.5662, 0.5546
39, 0.5694, 0.5673
40, 0.5665, 0.5713
41, 0.5682, 0.5731
42, 0.5613, 0.5766
43, 0.5679, 0.5669
