0
VICTORIES
0 1 0 2  TOTAL: 3
35 0 12 9  TOTAL: 56
36 24 0 20  TOTAL: 80
34 27 16 0  TOTAL: 77

TURNS_WIN
0 12.00 0 11.00  TOTAL: 23.0
12.09 0 13.25 12.89  TOTAL: 38.224603174603175
12.19 12.46 0 12.85  TOTAL: 37.50277777777778
11.62 11.70 13.62 0  TOTAL: 36.94635076252723

TURNS_LOSE
0 12.09 12.19 11.62  TOTAL: 35.89780578898226
12.00 0 12.46 11.70  TOTAL: 36.16203703703704
0 13.25 0 13.62  TOTAL: 26.875
11.00 12.89 12.85 0  TOTAL: 36.73888888888889

HEALTH_WIN
0 17.00 0 14.50  TOTAL: 31.5
22.89 0 8.83 11.00  TOTAL: 42.71904761904762
25.00 17.79 0 14.95  TOTAL: 57.741666666666674
25.35 18.33 15.25 0  TOTAL: 58.93627450980392

HEALTH_LOSE
0 22.89 25.00 25.35  TOTAL: 73.23865546218488
17.00 0 17.79 18.33  TOTAL: 53.125
0 8.83 0 15.25  TOTAL: 24.083333333333336
14.50 11.00 14.95 0  TOTAL: 40.45
1
VICTORIES
0 0 0 0 0 31 24 0  TOTAL: 55
36 0 11 13 8 36 36 20  TOTAL: 160
36 25 0 20 7 36 36 29  TOTAL: 189
36 23 16 0 13 36 35 30  TOTAL: 189
36 28 29 23 0 36 36 29  TOTAL: 217
5 0 0 0 0 0 5 0  TOTAL: 10
12 0 0 1 0 31 0 0  TOTAL: 44
36 16 7 6 7 36 36 0  TOTAL: 144

TURNS_WIN
0 0 0 0 0 16.06 14.54 0  TOTAL: 30.606182795698928
11.97 0 13.45 13.08 13.25 10.25 11.25 13.20  TOTAL: 86.45369075369075
11.67 12.00 0 13.60 13.00 10.11 10.97 11.38  TOTAL: 82.72931034482758
12.22 11.35 12.94 0 12.77 10.33 11.63 11.07  TOTAL: 82.30535050698094
11.44 11.32 13.66 13.43 0 9.83 10.92 11.28  TOTAL: 81.8816901073273
37.20 0 0 0 0 0 34.00 0  TOTAL: 71.2
24.00 0 0 11.00 0 15.65 0 0  TOTAL: 50.64516129032258
11.42 12.56 11.43 12.83 12.86 10.08 10.06 0  TOTAL: 81.23710317460318

TURNS_LOSE
0 11.97 11.67 12.22 11.44 37.20 24.00 11.42  TOTAL: 119.92222222222223
0 0 12.00 11.35 11.32 0 0 12.56  TOTAL: 47.23175465838509
0 13.45 0 12.94 13.66 0 0 11.43  TOTAL: 51.47578929690999
0 13.08 13.60 0 13.43 0 11.00 12.83  TOTAL: 63.945039018952066
0 13.25 13.00 12.77 0 0 0 12.86  TOTAL: 51.876373626373635
16.06 10.25 10.11 10.33 9.83 0 15.65 10.08  TOTAL: 82.32078853046595
14.54 11.25 10.97 11.63 10.92 34.00 0 10.06  TOTAL: 103.36468253968253
0 13.20 11.38 11.07 11.28 0 0 0  TOTAL: 46.92183908045977

HEALTH_WIN
0 0 0 0 0 27.84 18.00 0  TOTAL: 45.83870967741936
24.83 0 11.27 14.31 15.25 30.00 23.50 14.20  TOTAL: 133.3637529137529
25.86 16.64 0 16.50 19.14 30.67 24.69 20.31  TOTAL: 153.8154241926656
23.86 21.13 16.31 0 18.62 30.28 24.29 17.93  TOTAL: 152.4162559059298
26.67 19.82 19.00 17.74 0 30.56 27.28 17.83  TOTAL: 158.88814521310772
14.00 0 0 0 0 0 17.00 0  TOTAL: 31.0
13.67 0 0 17.00 0 28.00 0 0  TOTAL: 58.666666666666664
21.14 18.69 20.29 9.67 15.86 30.53 22.89 0  TOTAL: 139.05257936507937

HEALTH_LOSE
0 24.83 25.86 23.86 26.67 14.00 13.67 21.14  TOTAL: 150.02777777777777
0 0 16.64 21.13 19.82 0 0 18.69  TOTAL: 76.27936335403727
0 11.27 0 16.31 19.00 0 0 20.29  TOTAL: 66.87094155844156
0 14.31 16.50 0 17.74 0 17.00 9.67  TOTAL: 75.21348940914159
0 15.25 19.14 18.62 0 0 0 15.86  TOTAL: 68.86538461538461
27.84 30.00 30.67 30.28 30.56 0 28.00 30.53  TOTAL: 207.86648745519716
18.00 23.50 24.69 24.29 27.28 17.00 0 22.89  TOTAL: 157.6468253968254
0 14.20 20.31 17.93 17.83 0 0 0  TOTAL: 70.2712643678161
