0
VICTORIES
0 16 46 23 28 26 24 30  TOTAL: 193
56 0 61 51 50 45 49 48  TOTAL: 360
26 11 0 13 12 11 20 13  TOTAL: 106
49 21 59 0 38 31 40 36  TOTAL: 274
44 22 60 34 0 33 29 35  TOTAL: 257
46 27 61 41 39 0 39 37  TOTAL: 290
48 23 52 32 43 33 0 38  TOTAL: 269
42 24 59 36 37 35 34 0  TOTAL: 267

TURNS_WIN
0 17.19 19.17 16.39 14.86 18.62 15.88 17.37  TOTAL: 119.46691153049849
15.39 0 17.33 16.88 17.98 18.69 17.33 16.58  TOTAL: 120.18183177095975
17.31 16.18 0 16.31 16.50 16.27 18.30 18.77  TOTAL: 119.63916083916085
17.51 19.62 16.54 0 17.50 17.74 18.25 18.64  TOTAL: 125.80244895479606
16.27 17.18 17.25 18.41 0 16.06 17.34 18.77  TOTAL: 121.29317237866934
17.57 19.89 19.34 19.39 18.18 0 18.90 18.86  TOTAL: 132.13040041950217
17.25 17.91 17.58 17.53 17.84 19.18 0 16.84  TOTAL: 124.13234930248561
18.52 18.50 18.93 17.58 17.95 20.63 19.15 0  TOTAL: 131.26092244502016

TURNS_LOSE
0 15.39 17.31 17.51 16.27 17.57 17.25 18.52  TOTAL: 119.82250772002322
17.19 0 16.18 19.62 17.18 19.89 17.91 18.50  TOTAL: 126.47211634983375
19.17 17.33 0 16.54 17.25 19.34 17.58 18.93  TOTAL: 126.14754353912876
16.39 16.88 16.31 0 18.41 19.39 17.53 17.58  TOTAL: 122.49794153834956
14.86 17.98 16.50 17.50 0 18.18 17.84 17.95  TOTAL: 120.79978528490157
18.62 18.69 16.27 17.74 16.06 0 19.18 20.63  TOTAL: 127.18993193186743
15.88 17.33 18.30 18.25 17.34 18.90 0 19.15  TOTAL: 125.14085291941709
17.37 16.58 18.77 18.64 18.77 18.86 16.84 0  TOTAL: 125.83651835757098

HEALTH_WIN
0 17.06 21.41 21.52 20.57 17.92 21.12 23.40  TOTAL: 143.01678810320115
20.04 0 25.61 20.84 17.92 18.38 19.39 25.44  TOTAL: 147.60844179748403
16.88 12.82 0 20.46 16.75 15.45 17.35 23.15  TOTAL: 122.87272727272727
18.31 16.67 24.42 0 17.79 17.68 20.15 21.50  TOTAL: 136.51341096825482
18.18 16.86 25.28 19.06 0 20.73 23.34 23.11  TOTAL: 146.573997435965
19.26 16.30 22.13 20.54 19.05 0 16.44 20.92  TOTAL: 134.63099717444936
18.46 18.26 23.94 19.41 18.60 16.45 0 24.00  TOTAL: 139.12695720819457
16.55 15.71 22.08 21.03 15.97 15.54 17.06 0  TOTAL: 123.9431295666839

HEALTH_LOSE
0 20.04 16.88 18.31 18.18 19.26 18.46 16.55  TOTAL: 127.67509224729721
17.06 0 12.82 16.67 16.86 16.30 18.26 15.71  TOTAL: 113.67648404333187
21.41 25.61 0 24.42 25.28 22.13 23.94 22.08  TOTAL: 164.88486399820587
21.52 20.84 20.46 0 19.06 20.54 19.41 21.03  TOTAL: 142.8558515199184
20.57 17.92 16.75 17.79 0 19.05 18.60 15.97  TOTAL: 126.6598084426848
17.92 18.38 15.45 17.68 20.73 0 16.45 15.54  TOTAL: 122.15749483491417
21.12 19.39 17.35 20.15 23.34 16.44 0 17.06  TOTAL: 134.8523036535569
23.40 25.44 23.15 21.50 23.11 20.92 24.00 0  TOTAL: 161.52455078705077
1
VICTORIES
0 22 51 28 29 21 32 30 67 28 58 19 58 27 47 67  TOTAL: 584
50 0 64 48 46 52 52 49 72 42 69 36 69 52 64 69  TOTAL: 834
21 8 0 17 14 9 18 23 58 9 42 14 45 11 31 56  TOTAL: 376
44 24 55 0 38 36 36 42 70 28 69 27 69 42 63 70  TOTAL: 713
43 26 58 34 0 32 37 35 69 32 64 28 63 38 61 68  TOTAL: 688
51 20 63 36 40 0 44 38 71 33 67 30 67 33 53 70  TOTAL: 716
40 20 54 36 35 28 0 43 70 35 65 30 63 44 59 68  TOTAL: 690
42 23 49 30 37 34 29 0 70 22 60 30 62 42 57 69  TOTAL: 656
5 0 14 2 3 1 2 2 0 2 22 1 27 2 12 26  TOTAL: 121
44 30 63 44 40 39 37 50 70 0 66 35 66 46 64 68  TOTAL: 762
14 3 30 3 8 5 7 12 50 6 0 6 42 10 25 52  TOTAL: 273
53 36 58 45 44 42 42 42 71 37 66 0 67 46 55 71  TOTAL: 775
