0
VICTORIES
0 16 19 11 40 13 17 34 70 19 33 29 13 12 24 72  TOTAL: 422
56 0 25 16 61 16 34 28 72 25 54 40 23 20 34 72  TOTAL: 576
53 47 0 22 64 26 42 52 72 42 65 45 36 19 46 72  TOTAL: 703
61 56 50 0 65 40 52 61 72 59 65 60 55 40 54 72  TOTAL: 862
32 11 8 7 0 9 14 13 61 16 18 18 6 4 22 68  TOTAL: 307
59 56 46 32 63 0 56 57 72 54 58 57 45 37 48 72  TOTAL: 812
55 38 30 20 58 16 0 46 72 38 52 40 23 16 39 72  TOTAL: 615
38 44 20 11 59 15 26 0 70 40 53 41 26 21 27 72  TOTAL: 563
2 0 0 0 11 0 0 2 0 0 0 0 0 0 2 41  TOTAL: 58
53 47 30 13 56 18 34 32 72 0 53 45 25 26 39 72  TOTAL: 615
39 18 7 7 54 14 20 19 72 19 0 27 14 10 19 72  TOTAL: 411
43 32 27 12 54 15 32 31 72 27 45 0 19 13 38 72  TOTAL: 532
59 49 36 17 66 27 49 46 72 47 58 53 0 31 40 72  TOTAL: 722
60 52 53 32 68 35 56 51 72 46 62 59 41 0 53 72  TOTAL: 812
48 38 26 18 50 24 33 45 70 33 53 34 32 19 0 72  TOTAL: 595
0 0 0 0 4 0 0 0 31 0 0 0 0 0 0 0  TOTAL: 35

TURNS_WIN
0 17.19 22.16 22.73 22.32 20.46 21.18 18.09 16.56 18.89 18.48 18.21 22.00 16.92 17.46 16.24  TOTAL: 288.87864765493805
18.66 0 16.60 17.19 18.07 17.88 18.12 15.21 14.79 14.92 15.96 16.77 17.26 16.25 14.32 14.67  TOTAL: 246.67141610259372
17.89 19.04 0 19.55 18.81 19.08 19.71 17.35 14.81 17.88 18.35 18.80 20.22 16.74 16.59 14.58  TOTAL: 269.39437110004866
16.39 15.91 17.78 0 15.78 18.80 17.94 15.66 14.71 16.66 15.55 16.47 17.56 16.35 14.78 13.69  TOTAL: 244.04253937936355
19.94 16.45 20.25 20.57 0 15.56 16.64 19.85 18.97 15.81 17.83 17.89 14.67 16.75 18.82 17.19  TOTAL: 267.1860008629536
16.98 16.46 18.61 19.50 17.29 0 16.91 16.11 14.86 16.50 16.45 16.61 17.56 17.41 15.35 14.12  TOTAL: 250.72127363176756
19.60 18.16 19.97 18.95 18.02 20.50 0 18.48 14.86 17.47 17.60 18.32 18.48 17.81 17.49 14.42  TOTAL: 270.12061984358695
15.11 15.34 16.40 15.36 17.37 16.93 16.50 0 15.11 14.82 14.62 15.17 14.77 13.67 12.56 14.35  TOTAL: 228.08735744641763
19.00 0 0 0 47.82 0 0 19.50 0 0 0 0 0 0 14.50 31.85  TOTAL: 132.67184035476717
18.21 17.11 19.47 16.00 15.89 18.17 18.26 16.72 14.21 0 18.02 17.16 18.08 18.15 14.95 13.88  TOTAL: 254.2638974230595
16.51 18.17 19.29 17.29 18.39 17.93 16.80 17.26 16.72 17.74 0 16.89 19.64 17.10 15.32 14.12  TOTAL: 259.16313379602855
17.07 19.03 17.74 18.08 17.46 17.53 18.94 15.84 15.90 16.22 17.36 0 19.26 15.38 15.05 14.42  TOTAL: 255.295224570172
18.66 18.61 20.11 19.76 18.62 19.59 18.57 17.57 14.68 18.32 16.84 17.43 0 17.94 16.25 14.21  TOTAL: 267.1718410634981
16.87 15.96 17.02 17.34 15.78 16.14 17.82 14.59 13.93 15.89 14.44 15.42 16.22 0 13.85 13.69  TOTAL: 234.96684165709135
