generation, mean_f, mean_cr
0, 0.5000, 0.5000
1, 0.4774, 0.3930
2, 0.5103, 0.4350
3, 0.5066, 0.4958
4, 0.5092, 0.5010
5, 0.5145, 0.4859
6, 0.4841, 0.4919
7, 0.4841, 0.4919
8, 0.5089, 0.4944
9, 0.5002, 0.5169
10, 0.5076, 0.5150
11, 0.4809, 0.5033
12, 0.4809, 0.5033
13, 0.4831, 0.5128
14, 0.4962, 0.4981
15, 0.5087, 0.4967
16, 0.5152, 0.4844
17, 0.5084, 0.4834
18, 0.5102, 0.4770
19, 0.5102, 0.4770
20, 0.5102, 0.4770
21, 0.5069, 0.4743
22, 0.5069, 0.4743
23, 0.5069, 0.4743
24, 0.5069, 0.4743
25, 0.5049, 0.4831
