0
VICTORIES
0 70 24 71 37 28 72 27  TOTAL: 329
2 0 0 35 1 0 35 1  TOTAL: 74
48 72 0 72 48 34 72 39  TOTAL: 385
1 37 0 0 1 0 35 0  TOTAL: 74
35 71 24 71 0 21 70 28  TOTAL: 320
44 72 38 72 51 0 72 42  TOTAL: 391
0 37 0 37 2 0 0 2  TOTAL: 78
45 71 33 72 44 30 70 0  TOTAL: 365

TURNS_WIN
0 15.96 19.92 14.87 17.59 19.25 16.44 20.26  TOTAL: 124.29534725872753
18.00 0 0 30.29 17.00 0 39.09 20.00  TOTAL: 124.37142857142857
17.19 14.04 0 14.46 17.38 19.94 15.49 17.46  TOTAL: 115.9513260432378
19.00 23.78 0 0 11.00 0 30.51 0  TOTAL: 84.2980694980695
17.46 15.46 18.29 14.61 0 16.90 16.33 18.71  TOTAL: 117.76685110663985
17.73 15.28 17.84 14.44 18.02 0 15.54 18.93  TOTAL: 117.78144615102819
0 27.03 0 23.68 11.00 0 0 18.00  TOTAL: 79.70270270270271
17.64 15.83 20.85 16.01 19.00 19.87 16.13 0  TOTAL: 125.33304219254924

TURNS_LOSE
0 18.00 17.19 19.00 17.46 17.73 0 17.64  TOTAL: 107.01636002886002
15.96 0 14.04 23.78 15.46 15.28 27.03 15.83  TOTAL: 127.38317276028545
19.92 0 0 0 18.29 17.84 0 20.85  TOTAL: 76.89892344497608
14.87 30.29 14.46 0 14.61 14.44 23.68 16.01  TOTAL: 128.35692986749325
17.59 17.00 17.38 11.00 0 18.02 11.00 19.00  TOTAL: 110.98920243773185
19.25 0 19.94 0 16.90 0 0 19.87  TOTAL: 75.9626050420168
16.44 39.09 15.49 30.51 16.33 15.54 0 16.13  TOTAL: 149.52936507936508
20.26 20.00 17.46 0 18.71 18.93 18.00 0  TOTAL: 113.36365486365487

HEALTH_WIN
0 24.53 16.50 25.70 19.43 16.89 25.71 16.74  TOTAL: 145.50716043004775
16.50 0 0 19.54 18.00 0 22.29 8.00  TOTAL: 84.32857142857142
22.44 25.85 0 25.88 19.40 18.32 26.68 20.10  TOTAL: 158.66220462543993
19.00 22.27 0 0 33.00 0 23.09 0  TOTAL: 97.35598455598456
22.69 25.10 17.75 24.99 0 21.62 25.84 17.39  TOTAL: 155.3749832327297
23.05 26.54 16.03 26.07 18.20 0 27.82 19.19  TOTAL: 156.88888051233255
0 23.11 0 23.46 20.00 0 0 15.50  TOTAL: 82.06756756756756
23.07 25.68 17.15 25.53 19.07 19.27 26.59 0  TOTAL: 156.34257870455053

HEALTH_LOSE
0 16.50 22.44 19.00 22.69 23.05 0 23.07  TOTAL: 126.7353354978355
24.53 0 25.85 22.27 25.10 26.54 23.11 25.68  TOTAL: 173.07048658316265
16.50 0 0 0 17.75 16.03 0 17.15  TOTAL: 67.42783094098884
25.70 19.54 25.88 0 24.99 26.07 23.46 25.53  TOTAL: 171.16467966960923
19.43 18.00 19.40 33.00 0 18.20 20.00 19.07  TOTAL: 147.09252601532012
16.89 0 18.32 0 21.62 0 0 19.27  TOTAL: 76.10210084033613
25.71 22.29 26.68 23.09 25.84 27.82 0 26.59  TOTAL: 178.00833333333333
16.74 8.00 20.10 0 17.39 19.19 15.50 0  TOTAL: 96.92663817663818
1
VICTORIES
0 72 21 72 33 24 72 29 48 70 28 57 29 30 61 32  TOTAL: 678
0 0 0 34 2 0 33 3 4 23 3 2 0 0 3 1  TOTAL: 108
51 72 0 72 56 29 72 43 51 70 33 57 42 35 69 35  TOTAL: 787
0 38 0 0 3 0 35 0 3 22 1 2 0 1 6 1  TOTAL: 112
39 70 16 69 0 12 70 34 37 71 29 51 23 20 53 21  TOTAL: 615
48 72 43 72 60 0 72 46 55 71 41 67 48 45 65 42  TOTAL: 847
0 39 0 37 2 0 0 2 2 30 0 2 0 0 15 2  TOTAL: 131
43 69 29 72 38 26 70 0 46 65 40 61 30 26 56 36  TOTAL: 707
24 68 21 69 35 17 70 26 0 66 27 42 23 21 58 20  TOTAL: 587
2 49 2 50 1 1 42 7 6 0 1 6 2 0 9 5  TOTAL: 183
44 69 39 71 43 31 72 32 45 71 0 58 30 35 64 35  TOTAL: 739
15 70 15 70 21 5 70 11 30 66 14 0 9 8 44 6  TOTAL: 454
43 72 30 72 49 24 72 42 49 70 42 63 0 22 67 33  TOTAL: 750
42 72 37 71 52 27 72 46 51 72 37 64 50 0 63 41  TOTAL: 797
11 69 3 66 19 7 57 16 14 63 8 28 5 9 0 8  TOTAL: 383
40 71 37 71 51 30 70 36 52 67 37 66 39 31 64 0  TOTAL: 762

TURNS_WIN
0 16.17 21.19 16.17 17.73 19.12 16.67 20.00 19.77 16.26 20.04 17.95 19.34 19.63 19.57 20.44  TOTAL: 280.0432392263355
0 0 0 27.47 16.00 0 35.94 20.00 40.75 35.83 16.00 18.00 0 0 27.33 10.00  TOTAL: 247.31940246454315
17.39 15.17 0 14.58 17.82 20.45 15.12 18.40 17.78 15.43 18.85 16.95 19.14 19.17 17.29 18.57  TOTAL: 262.1165179152291
0 30.24 0 0 11.33 0 34.37 0 38.67 29.59 23.00 23.00 0 17.00 33.00 23.00  TOTAL: 263.1991797676008
17.72 15.36 19.25 15.17 0 18.50 16.83 16.68 17.49 15.59 17.93 17.00 17.52 17.80 17.09 17.33  TOTAL: 257.26252898680593
18.69 15.51 18.95 14.78 17.67 0 16.51 18.85 18.11 15.56 19.22 17.99 19.42 21.13 18.57 19.55  TOTAL: 270.50494451089025
0 25.56 0 23.49 13.50 0 0 12.00 30.00 24.50 0 12.00 0 0 29.20 14.00  TOTAL: 184.25058905058904
18.72 14.99 19.97 14.90 18.47 22.62 16.57 0 17.74 16.14 18.55 17.77 17.50 21.38 17.93 20.44  TOTAL: 273.69094492958567
18.12 17.99 17.10 15.99 19.43 17.76 18.19 19.23 0 17.20 16.89 18.17 16.52 21.19 19.84 19.30  TOTAL: 272.91036844631293
30.00 30.57 17.00 24.60 23.00 11.00 33.83 20.57 26.83 0 19.00 20.67 27.50 0 32.00 24.20  TOTAL: 340.7761904761905
17.66 15.01 19.08 14.45 18.21 21.13 16.14 18.59 19.24 16.00 0 17.09 18.50 18.74 17.14 18.46  TOTAL: 265.4434607785202
16.53 16.09 14.73 15.61 17.24 20.20 17.79 16.27 17.43 18.65 14.71 0 18.56 16.75 20.68 16.33  TOTAL: 257.58304473304474
17.65 15.79 20.83 15.28 18.20 22.04 16.97 20.38 19.80 16.34 18.50 16.75 0 19.59 19.25 18.91  TOTAL: 276.2914020704892
17.24 15.49 17.62 15.06 17.75 18.89 16.04 18.70 18.12 15.14 17.27 17.39 19.62 0 17.46 18.90  TOTAL: 260.67856143115597
15.82 19.39 19.00 18.18 18.32 23.29 20.77 22.88 22.29 21.08 17.75 19.36 18.80 18.56 0 19.75  TOTAL: 295.21751570956377
19.40 15.48 20.19 15.00 17.73 22.37 16.30 19.25 17.67 16.19 18.97 17.17 19.59 22.74 18.45 0  TOTAL: 276.50176977844825

TURNS_LOSE
0 0 17.39 0 17.72 18.69 0 18.72 18.12 30.00 17.66 16.53 17.65 17.24 15.82 19.40  TOTAL: 224.94339990265092
16.17 0 15.17 30.24 15.36 15.51 25.56 14.99 17.99 30.57 15.01 16.09 15.79 15.49 19.39 15.48  TOTAL: 278.7957020885612
21.19 0 0 0 19.25 18.95 0 19.97 17.10 17.00 19.08 14.73 20.83 17.62 19.00 20.19  TOTAL: 224.90912045358715
16.17 27.47 14.58 0 15.17 14.78 23.49 14.90 15.99 24.60 14.45 15.61 15.28 15.06 18.18 15.00  TOTAL: 260.72797449459404
17.73 16.00 17.82 11.33 0 17.67 13.50 18.47 19.43 23.00 18.21 17.24 18.20 17.75 18.32 17.73  TOTAL: 262.39371580389144
19.12 0 20.45 0 18.50 0 0 22.62 17.76 11.00 21.13 20.20 22.04 18.89 23.29 22.37  TOTAL: 237.36533512580752
16.67 35.94 15.12 34.37 16.83 16.51 0 16.57 18.19 33.83 16.14 17.79 16.97 16.04 20.77 16.30  TOTAL: 308.0458475734792
20.00 20.00 18.40 0 16.68 18.85 12.00 0 19.23 20.57 18.59 16.27 20.38 18.70 22.88 19.25  TOTAL: 261.7899251421916
19.77 40.75 17.78 38.67 17.49 18.11 30.00 17.74 0 26.83 19.24 17.43 19.80 18.12 22.29 17.67  TOTAL: 341.689989301923
16.26 35.83 15.43 29.59 15.59 15.56 24.50 16.14 17.20 0 16.00 18.65 16.34 15.14 21.08 16.19  TOTAL: 289.4997272594137
20.04 16.00 18.85 23.00 17.93 19.22 0 18.55 16.89 19.00 0 14.71 18.50 17.27 17.75 18.97  TOTAL: 256.68116365849755
17.95 18.00 16.95 23.00 17.00 17.99 12.00 17.77 18.17 20.67 17.09 0 16.75 17.39 19.36 17.17  TOTAL: 267.23030977197595
19.34 0 19.14 0 17.52 19.42 0 17.50 16.52 27.50 18.50 18.56 0 19.62 18.80 19.59  TOTAL: 232.01312880189943
19.63 0 19.17 17.00 17.80 21.13 0 21.38 21.19 0 18.74 16.75 19.59 0 18.56 22.74  TOTAL: 233.69444408637958
19.57 27.33 17.29 33.00 17.09 18.57 29.20 17.93 19.84 32.00 17.14 20.68 19.25 17.46 0 18.45  TOTAL: 324.82354528967016
20.44 10.00 18.57 23.00 17.33 19.55 14.00 20.44 19.30 24.20 18.46 16.33 18.91 18.90 19.75 0  TOTAL: 279.18633152078274

HEALTH_WIN
0 24.57 14.86 26.11 16.55 16.62 26.60 17.59 23.06 25.44 16.54 17.81 18.21 18.33 20.34 15.69  TOTAL: 298.3116632294974
0 0 0 19.26 12.50 0 19.76 -0.33 9.50 18.57 13.33 13.50 0 0 14.67 20.00  TOTAL: 140.7541656978997
22.35 24.97 0 26.67 18.41 18.79 27.35 21.07 23.00 25.33 18.09 20.63 17.83 19.74 24.29 20.74  TOTAL: 329.27259962179255
0 23.16 0 0 21.67 0 19.60 0 23.67 21.36 2.00 10.50 0 31.00 16.83 7.00  TOTAL: 176.78819776714514
22.64 25.13 18.00 25.55 0 17.58 25.24 20.03 24.57 26.11 18.17 18.80 16.83 20.50 21.94 18.95  TOTAL: 320.0543670691289
22.04 25.42 20.79 25.76 18.57 0 27.79 19.20 21.29 26.79 18.02 19.52 20.38 19.96 23.11 17.60  TOTAL: 326.2268111512524
0 21.26 0 22.51 22.00 0 0 24.00 18.00 23.50 0 26.50 0 0 19.53 15.50  TOTAL: 192.8032571032571
21.44 25.74 17.93 27.11 19.32 18.27 26.27 0 22.04 26.85 18.35 20.26 22.23 17.12 23.46 19.00  TOTAL: 325.3945161601065
19.88 24.03 17.57 25.51 16.40 18.65 25.03 16.38 0 24.58 18.07 20.21 18.65 17.67 19.36 15.85  TOTAL: 297.83835925900706
4.00 22.08 19.00 20.24 8.00 23.00 21.07 18.57 14.33 0 8.00 18.33 10.00 0 14.89 14.40  TOTAL: 215.92004535147393
21.66 25.22 16.44 25.48 17.88 16.48 26.72 18.78 22.27 25.69 0 19.52 19.43 21.03 24.27 18.69  TOTAL: 319.54960994763604
22.47 22.29 17.33 24.54 18.05 12.80 24.54 19.00 23.20 23.08 23.71 0 18.44 22.25 19.00 14.33  TOTAL: 305.0368686868687
20.63 25.69 15.83 25.19 18.10 17.21 27.26 16.83 20.29 27.44 18.93 19.44 0 19.27 21.43 18.24  TOTAL: 311.80730020848284
21.62 26.32 19.78 26.37 20.19 16.52 27.72 19.67 23.08 27.96 18.14 20.53 18.36 0 23.87 20.88  TOTAL: 331.0096490014223
24.55 24.59 15.00 23.48 15.53 15.71 25.60 16.50 19.07 23.89 16.50 18.18 14.40 19.67 0 18.00  TOTAL: 290.6671542162389
21.38 25.83 19.65 25.85 19.29 17.00 27.53 21.17 24.08 26.06 17.95 20.94 20.62 18.29 22.62 0  TOTAL: 328.2417323798038

HEALTH_LOSE
0 0 22.35 0 22.64 22.04 0 21.44 19.88 4.00 21.66 22.47 20.63 21.62 24.55 21.38  TOTAL: 244.6456606662831
24.57 0 24.97 23.16 25.13 25.42 21.26 25.74 24.03 22.08 25.22 22.29 25.69 26.32 24.59 25.83  TOTAL: 366.29356790070153
14.86 0 0 0 18.00 20.79 0 17.93 17.57 19.00 16.44 17.33 15.83 19.78 15.00 19.65  TOTAL: 212.18530012074518
26.11 19.26 26.67 0 25.55 25.76 22.51 27.11 25.51 20.24 25.48 24.54 25.19 26.37 23.48 25.85  TOTAL: 369.6412591053575
16.55 12.50 18.41 21.67 0 18.57 22.00 19.32 16.40 8.00 17.88 18.05 18.10 20.19 15.53 19.29  TOTAL: 262.45141356120473
16.62 0 18.79 0 17.58 0 0 18.27 18.65 23.00 16.48 12.80 17.21 16.52 15.71 17.00  TOTAL: 208.64273490824888
26.60 19.76 27.35 19.60 25.24 27.79 0 26.27 25.03 21.07 26.72 24.54 27.26 27.72 25.60 27.53  TOTAL: 378.08422571580473
17.59 -0.33 21.07 0 20.03 19.20 24.00 0 16.38 18.57 18.78 19.00 16.83 19.67 16.50 21.17  TOTAL: 248.45891194322
23.06 9.50 23.00 23.67 24.57 21.29 18.00 22.04 0 14.33 22.27 23.20 20.29 23.08 19.07 24.08  TOTAL: 311.4436188926278
25.44 18.57 25.33 21.36 26.11 26.79 23.50 26.85 24.58 0 25.69 23.08 27.44 27.96 23.89 26.06  TOTAL: 372.6392814774296
16.54 13.33 18.09 2.00 18.17 18.02 0 18.35 18.07 8.00 0 23.71 18.93 18.14 16.50 17.95  TOTAL: 225.80477304497487
17.81 13.50 20.63 10.50 18.80 19.52 26.50 20.26 20.21 18.33 19.52 0 19.44 20.53 18.18 20.94  TOTAL: 284.68572144086346
18.21 0 17.83 0 16.83 20.38 0 22.23 18.65 10.00 19.43 18.44 0 18.36 14.40 20.62  TOTAL: 215.3799864811184
18.33 0 19.74 31.00 20.50 19.96 0 17.12 17.67 0 21.03 22.25 19.27 0 19.67 18.29  TOTAL: 244.82208526240782
20.34 14.67 24.29 16.83 21.94 23.11 19.53 23.46 19.36 14.89 24.27 19.00 21.43 23.87 0 22.62  TOTAL: 309.6302594975897
15.69 20.00 20.74 7.00 18.95 17.60 15.50 19.00 15.85 14.40 18.69 14.33 18.24 20.88 18.00 0  TOTAL: 254.86749683243588
2
VICTORIES
0 71 21 55 28 28 57 28 38 72 26 46 26 22 27 32  TOTAL: 577
1 0 1 3 4 0 13 3 3 42 0 10 4 0 2 4  TOTAL: 90
51 71 0 53 39 29 65 36 52 72 30 64 30 28 38 38  TOTAL: 696
17 69 19 0 15 7 42 15 22 67 16 36 8 9 17 15  TOTAL: 374
44 68 33 57 0 23 63 36 44 70 29 59 27 28 37 29  TOTAL: 647
44 72 43 65 49 0 64 42 55 72 35 61 35 33 49 35  TOTAL: 754
15 59 7 30 9 8 0 14 14 66 5 24 12 10 11 16  TOTAL: 300
44 69 36 57 36 30 58 0 48 71 34 51 42 31 38 30  TOTAL: 675
34 69 20 50 28 17 58 24 0 70 24 41 22 24 26 20  TOTAL: 527
0 30 0 5 2 0 6 1 2 0 0 3 1 1 2 2  TOTAL: 55
46 72 42 56 43 37 67 38 48 72 0 54 34 36 47 36  TOTAL: 728
26 62 8 36 13 11 48 21 31 69 18 0 19 13 13 11  TOTAL: 399
46 68 42 64 45 37 60 30 50 71 38 53 0 35 44 43  TOTAL: 726
50 72 44 63 44 39 62 41 48 71 36 59 37 0 43 39  TOTAL: 748
45 70 34 55 35 23 61 34 46 70 25 59 28 29 0 31  TOTAL: 645
40 68 34 57 43 37 56 42 52 70 36 61 29 33 41 0  TOTAL: 699

TURNS_WIN
0 16.18 17.19 18.56 18.00 21.07 18.60 19.39 19.50 16.06 16.65 18.67 18.65 23.18 18.93 20.44  TOTAL: 281.08039310248796
15.00 0 20.00 23.67 22.00 0 30.15 21.33 36.67 36.24 0 18.70 26.50 0 18.50 22.75  TOTAL: 291.50860805860805
18.16 15.27 0 17.19 18.28 19.41 17.52 19.89 17.65 15.57 18.00 17.62 17.70 19.75 18.68 18.87  TOTAL: 269.5718799988872
