generation, mean_f, mean_cr
0, 0.5000, 0.5000
1, 0.5186, 0.5523
2, 0.5578, 0.5442
3, 0.5530, 0.5231
4, 0.5395, 0.5193
5, 0.5277, 0.5029
6, 0.5292, 0.5044
7, 0.5307, 0.5012
8, 0.5177, 0.5099
9, 0.5104, 0.5116
10, 0.5162, 0.5087
11, 0.5156, 0.5071
12, 0.5153, 0.5041
13, 0.5164, 0.5080
14, 0.5145, 0.5059
15, 0.5199, 0.5118
16, 0.5153, 0.5020
17, 0.5132, 0.5032
18, 0.5182, 0.5025
19, 0.5226, 0.5037
20, 0.5186, 0.5002
21, 0.5172, 0.4984
22, 0.5164, 0.4984
23, 0.5164, 0.4984
24, 0.5170, 0.4987
25, 0.5178, 0.5006
