generation, mean_f, mean_cr
0, 0.5000, 0.5000
1, 0.5625, 0.4827
2, 0.5408, 0.5001
3, 0.5691, 0.5195
4, 0.5622, 0.5463
5, 0.5592, 0.5469
6, 0.5561, 0.5322
7, 0.5712, 0.5291
8, 0.5686, 0.5243
9, 0.5619, 0.5337
10, 0.5629, 0.5267
11, 0.5652, 0.5346
12, 0.5575, 0.5396
13, 0.5593, 0.5398
14, 0.5539, 0.5362
15, 0.5634, 0.5380
16, 0.5577, 0.5406
17, 0.5586, 0.5401
18, 0.5586, 0.5401
19, 0.5586, 0.5401
20, 0.5587, 0.5395
21, 0.5613, 0.5343
22, 0.5613, 0.5343
23, 0.5569, 0.5342
24, 0.5495, 0.5336
25, 0.5529, 0.5373
