0
VICTORIES
0 70 56 69 52 32 48 65  TOTAL: 392
2 0 1 41 5 4 6 21  TOTAL: 80
16 71 0 66 40 24 40 62  TOTAL: 319
3 31 6 0 8 3 5 30  TOTAL: 86
20 67 32 64 0 13 44 61  TOTAL: 301
40 68 48 69 59 0 55 70  TOTAL: 409
24 66 32 67 28 17 0 69  TOTAL: 303
7 51 10 42 11 2 3 0  TOTAL: 126

TURNS_WIN
0 15.60 16.59 17.29 17.81 18.22 17.38 16.68  TOTAL: 119.55750617136486
14.00 0 12.00 28.93 14.60 13.00 14.17 25.57  TOTAL: 122.26492450638791
20.25 16.61 0 17.68 18.35 17.88 17.55 17.18  TOTAL: 125.48987133947378
13.67 25.55 20.33 0 18.50 12.33 15.40 25.30  TOTAL: 131.08172043010754
17.10 17.91 19.75 18.48 0 21.00 17.66 17.25  TOTAL: 129.1498153096292
17.52 15.76 18.48 16.74 16.31 0 17.20 15.96  TOTAL: 117.97023058670779
21.08 17.27 20.53 18.22 21.71 19.18 0 16.65  TOTAL: 134.65412141864002
13.43 21.31 19.70 23.86 17.45 18.00 11.33 0  TOTAL: 125.08731856378915

TURNS_LOSE
0 14.00 20.25 13.67 17.10 17.52 21.08 13.43  TOTAL: 117.05357142857142
15.60 0 16.61 25.55 17.91 15.76 17.27 21.31  TOTAL: 130.01562730606142
16.59 12.00 0 20.33 19.75 18.48 20.53 19.70  TOTAL: 127.38303571428573
17.29 28.93 17.68 0 18.48 16.74 18.22 23.86  TOTAL: 141.203031411515
17.81 14.60 18.35 18.50 0 16.31 21.71 17.45  TOTAL: 124.7316082222862
18.22 13.00 17.88 12.33 21.00 0 19.18 18.00  TOTAL: 119.60355392156863
17.38 14.17 17.55 15.40 17.66 17.20 0 11.33  TOTAL: 110.68409090909091
16.68 25.57 17.18 25.30 17.25 15.96 16.65 0  TOTAL: 134.58098941272095

HEALTH_WIN
0 26.83 20.38 26.74 19.29 17.75 23.00 23.98  TOTAL: 157.96577878643097
14.50 0 23.00 18.80 20.40 17.75 23.50 17.57  TOTAL: 135.52630662020906
19.00 25.63 0 26.64 20.18 13.62 22.50 21.90  TOTAL: 149.47339225971666
21.33 23.32 14.00 0 19.00 19.67 19.80 16.83  TOTAL: 133.95591397849464
16.85 26.22 17.28 26.31 0 15.85 19.91 22.39  TOTAL: 144.8163179752105
19.45 27.10 17.67 26.55 21.78 0 21.65 23.97  TOTAL: 158.17596752374158
13.71 24.95 17.06 25.48 17.18 14.29 0 23.06  TOTAL: 135.7336508183003
19.00 24.24 17.70 22.33 18.55 15.50 30.00 0  TOTAL: 147.31408199643494

HEALTH_LOSE
0 14.50 19.00 21.33 16.85 19.45 13.71 19.00  TOTAL: 123.84166666666667
26.83 0 25.63 23.32 26.22 27.10 24.95 24.24  TOTAL: 178.30161623631216
20.38 23.00 0 14.00 17.28 17.67 17.06 17.70  TOTAL: 127.08541666666667
26.74 18.80 26.64 0 26.31 26.55 25.48 22.33  TOTAL: 172.85454203123973
19.29 20.40 20.18 19.00 0 21.78 17.18 18.55  TOTAL: 136.36714852943666
17.75 17.75 13.62 19.67 15.85 0 14.29 15.50  TOTAL: 114.43193815987935
23.00 23.50 22.50 19.80 19.91 21.65 0 30.00  TOTAL: 160.36363636363637
23.98 17.57 21.90 16.83 22.39 23.97 23.06 0  TOTAL: 149.71544530470103
1
VICTORIES
0 71 46 67 48 24 54 68 37 72 72 71 36 44 57 41  TOTAL: 808
1 0 5 31 2 3 4 24 4 52 47 37 5 5 9 4  TOTAL: 233
26 67 0 66 44 17 44 65 30 72 71 69 34 30 41 42  TOTAL: 718
5 41 6 0 2 2 5 28 1 53 46 36 1 8 9 5  TOTAL: 248
24 70 28 70 0 17 32 66 13 72 71 67 23 21 41 24  TOTAL: 639
48 69 55 70 55 0 56 65 52 72 72 71 47 55 65 49  TOTAL: 901
18 68 28 67 40 16 0 64 20 72 70 69 27 29 46 24  TOTAL: 658
4 48 7 44 6 7 8 0 9 65 65 44 10 12 12 11  TOTAL: 352
35 68 42 71 59 20 52 63 0 72 72 70 39 45 60 36  TOTAL: 804
0 20 0 19 0 0 0 7 0 0 28 15 1 1 0 0  TOTAL: 91
0 25 1 26 1 0 2 7 0 44 0 26 0 4 3 0  TOTAL: 139
1 35 3 36 5 1 3 28 2 57 46 0 6 9 5 4  TOTAL: 241
36 67 38 71 49 25 45 62 33 71 72 66 0 46 53 43  TOTAL: 777
28 67 42 64 51 17 43 60 27 71 68 63 26 0 41 29  TOTAL: 697
15 63 31 63 31 7 26 60 12 72 69 67 19 31 0 21  TOTAL: 587
