0
VICTORIES
0 5 71 34 23 23 71 65  TOTAL: 292
67 0 72 64 54 49 70 70  TOTAL: 446
1 0 0 4 1 1 30 18  TOTAL: 55
38 8 68 0 26 15 72 60  TOTAL: 287
49 18 71 46 0 36 72 67  TOTAL: 359
49 23 71 57 36 0 72 69  TOTAL: 377
1 2 42 0 0 0 0 18  TOTAL: 63
7 2 54 12 5 3 54 0  TOTAL: 137

TURNS_WIN
0 22.20 16.44 16.79 17.30 19.39 15.41 17.97  TOTAL: 125.50407101273782
17.40 0 15.04 17.42 17.93 18.69 14.50 16.70  TOTAL: 117.68633021823987
30.00 0 0 23.75 10.00 22.00 37.10 38.83  TOTAL: 161.68333333333334
17.97 20.38 16.29 0 18.54 21.60 15.10 18.22  TOTAL: 128.09515228493558
16.92 17.11 14.96 16.83 0 17.14 14.10 16.69  TOTAL: 113.73599016873507
18.47 20.78 15.90 18.05 17.58 0 14.78 17.13  TOTAL: 122.6975823741256
24.00 18.50 39.69 0 0 0 0 46.67  TOTAL: 128.85714285714286
16.00 17.50 25.35 21.50 16.80 18.00 19.87 0  TOTAL: 135.0222222222222

TURNS_LOSE
0 17.40 30.00 17.97 16.92 18.47 24.00 16.00  TOTAL: 140.764424387194
22.20 0 0 20.38 17.11 20.78 18.50 17.50  TOTAL: 116.46871980676329
16.44 15.04 0 16.29 14.96 15.90 39.69 25.35  TOTAL: 143.67388700394088
16.79 17.42 23.75 0 16.83 18.05 0 21.50  TOTAL: 114.34471118252793
17.30 17.93 10.00 18.54 0 17.58 0 16.80  TOTAL: 98.15206862380775
19.39 18.69 22.00 21.60 17.14 0 0 18.00  TOTAL: 116.82407078773538
15.41 14.50 37.10 15.10 14.10 14.78 0 19.87  TOTAL: 130.85104329681795
17.97 16.70 38.83 18.22 16.69 17.13 46.67 0  TOTAL: 172.20289938268522

HEALTH_WIN
0 5.20 26.48 21.41 20.39 20.91 27.94 25.23  TOTAL: 147.56941697400615
21.52 0 27.94 20.84 18.19 20.31 28.31 26.83  TOTAL: 163.94474728116785
10.00 0 0 16.75 16.00 11.00 22.20 17.67  TOTAL: 93.61666666666667
19.97 21.38 25.81 0 16.27 18.47 28.47 24.43  TOTAL: 154.79896073139108
20.22 20.39 27.34 22.72 0 19.94 28.74 25.97  TOTAL: 165.31950296745606
