0
VICTORIES
0 50 39 34 28 54  TOTAL: 205
4 0 19 7 14 52  TOTAL: 96
15 35 0 30 18 54  TOTAL: 152
20 47 24 0 21 54  TOTAL: 166
26 40 36 33 0 53  TOTAL: 188
0 2 0 0 1 0  TOTAL: 3

TURNS_WIN
0 17.94 18.51 19.21 20.75 13.76  TOTAL: 90.16796212502095
18.50 0 15.74 18.00 15.07 15.29  TOTAL: 82.59673221515327
22.53 17.51 0 18.73 18.78 13.30  TOTAL: 90.85502645502645
18.45 15.64 16.50 0 15.81 13.35  TOTAL: 79.74967353371608
17.77 16.93 16.94 16.27 0 12.72  TOTAL: 80.62838361847797
0 30.00 0 0 9.00 0  TOTAL: 39.0

TURNS_LOSE
0 18.50 22.53 18.45 17.77 0  TOTAL: 77.25256410256411
17.94 0 17.51 15.64 16.93 30.00  TOTAL: 98.01758358662615
18.51 15.74 0 16.50 16.94 0  TOTAL: 67.69410706252812
19.21 18.00 18.73 0 16.27 0  TOTAL: 72.21194295900179
20.75 15.07 18.78 15.81 0 9.00  TOTAL: 79.40873015873015
13.76 15.29 13.30 13.35 12.72 0  TOTAL: 68.41285007794443

HEALTH_WIN
0 19.56 22.33 19.12 15.54 26.24  TOTAL: 102.78743541861189
16.25 0 19.11 21.57 17.14 23.65  TOTAL: 97.7233950260266
13.07 17.91 0 17.93 14.78 25.61  TOTAL: 89.3031746031746
19.70 20.98 22.04 0 16.71 23.61  TOTAL: 103.04578689631882
18.08 20.02 19.53 22.06 0 26.68  TOTAL: 106.36955219832578
0 17.00 0 0 18.00 0  TOTAL: 35.0

HEALTH_LOSE
0 16.25 13.07 19.70 18.08 0  TOTAL: 67.09358974358975
19.56 0 17.91 20.98 20.02 17.00  TOTAL: 95.47800911854102
22.33 19.11 0 22.04 19.53 0  TOTAL: 83.00804093567251
19.12 21.57 17.93 0 22.06 0  TOTAL: 80.6830150241915
15.54 17.14 14.78 16.71 0 18.00  TOTAL: 82.17063492063492
26.24 23.65 25.61 23.61 26.68 0  TOTAL: 125.796054399828
1
VICTORIES
0 50 35 36 35 54 36 19 54 24 40 45  TOTAL: 428
4 0 17 19 12 52 11 8 47 3 17 16  TOTAL: 206
19 37 0 21 17 53 30 11 54 9 25 33  TOTAL: 309
18 35 33 0 22 54 33 10 54 21 31 32  TOTAL: 343
19 42 37 32 0 53 39 18 54 14 43 36  TOTAL: 387
0 2 1 0 1 0 0 0 11 0 3 0  TOTAL: 18
18 43 24 21 15 54 0 11 54 8 26 28  TOTAL: 302
35 46 43 44 36 54 43 0 54 30 48 47  TOTAL: 480
0 7 0 0 0 43 0 0 0 0 2 1  TOTAL: 53
30 51 45 33 40 54 46 24 54 0 43 39  TOTAL: 459
14 37 29 23 11 51 28 6 52 11 0 26  TOTAL: 288
9 38 21 22 18 54 26 7 53 15 28 0  TOTAL: 291

TURNS_WIN
0 17.88 20.00 18.81 19.69 14.22 21.33 19.11 15.50 19.00 19.50 18.56  TOTAL: 203.58764411027568
20.50 0 16.65 16.05 14.75 16.29 18.45 14.00 18.15 20.33 16.94 15.00  TOTAL: 187.11614336961813
17.58 20.03 0 19.19 19.94 13.26 18.17 19.82 15.24 18.78 18.76 17.55  TOTAL: 198.3105995487303
19.11 17.37 16.67 0 18.14 13.59 18.39 16.50 15.15 16.52 19.39 17.06  TOTAL: 187.8936564182532
19.53 16.24 16.51 16.34 0 13.19 16.72 17.61 13.91 14.79 17.33 16.33  TOTAL: 178.49145003722916
0 33.00 17.00 0 14.00 0 0 0 40.18 0 13.67 0  TOTAL: 117.84848484848486
21.44 18.86 17.67 19.29 19.47 13.96 0 18.18 14.96 21.12 18.73 18.29  TOTAL: 201.97318480399875
17.83 15.61 15.98 17.09 15.67 12.70 16.19 0 14.15 15.97 16.17 15.28  TOTAL: 172.61941446586155
0 38.71 0 0 0 42.72 0 0 0 0 23.50 21.00  TOTAL: 125.93521594684385
19.23 16.39 17.31 17.12 18.30 13.26 18.33 17.58 14.41 0 16.19 15.72  TOTAL: 183.83789561450004
17.57 17.46 16.93 16.91 15.91 12.78 18.61 15.67 14.37 17.73 0 17.00  TOTAL: 180.9348374929555
16.44 15.76 15.43 15.55 15.56 13.17 16.23 13.00 13.89 16.93 16.04 0  TOTAL: 167.9904598380765

TURNS_LOSE
0 20.50 17.58 19.11 19.53 0 21.44 17.83 0 19.23 17.57 16.44  TOTAL: 169.23859649122807
17.88 0 20.03 17.37 16.24 33.00 18.86 15.61 38.71 16.39 17.46 15.76  TOTAL: 227.31477153623092
20.00 16.65 0 16.67 16.51 17.00 17.67 15.98 0 17.31 16.93 15.43  TOTAL: 170.14136687886392
18.81 16.05 19.19 0 16.34 0 19.29 17.09 0 17.12 16.91 15.55  TOTAL: 156.34874684653002
19.69 14.75 19.94 18.14 0 14.00 19.47 15.67 0 18.30 15.91 15.56  TOTAL: 171.41123419064596
14.22 16.29 13.26 13.59 13.19 0 13.96 12.70 42.72 13.26 12.78 13.17  TOTAL: 179.15394309259653
21.33 18.45 18.17 18.39 16.72 0 0 16.19 0 18.33 18.61 16.23  TOTAL: 162.41647912249528
19.11 14.00 19.82 16.50 17.61 0 18.18 0 0 17.58 15.67 13.00  TOTAL: 151.46637426900585
15.50 18.15 15.24 15.15 13.91 40.18 14.96 14.15 0 14.41 14.37 13.89  TOTAL: 189.89774623506057
19.00 20.33 18.78 16.52 14.79 0 21.12 15.97 0 0 17.73 16.93  TOTAL: 161.17290764790766
19.50 16.94 18.76 19.39 17.33 13.67 18.73 16.17 23.50 16.19 0 16.04  TOTAL: 196.19971800157538
18.56 15.00 17.55 17.06 16.33 0 18.29 15.28 21.00 15.72 17.00 0  TOTAL: 171.77710218268732

HEALTH_WIN
0 20.64 18.17 18.89 17.77 26.54 22.56 12.68 27.54 17.33 18.50 19.93  TOTAL: 220.55225285435813
11.00 0 20.82 22.32 16.50 23.25 20.27 13.25 27.17 10.67 19.06 20.06  TOTAL: 204.37024912021207
18.84 18.81 0 21.10 13.65 25.28 20.40 9.73 28.39 16.00 18.44 20.64  TOTAL: 211.27075711318597
16.78 18.94 18.39 0 17.86 23.59 18.55 15.10 27.83 19.10 15.39 18.62  TOTAL: 210.1569260190228
19.21 20.74 19.84 20.75 0 24.85 22.08 13.33 27.91 20.64 18.09 20.11  TOTAL: 227.55017132294216
0 10.50 6.00 0 4.00 0 0 0 20.00 0 9.67 0  TOTAL: 50.166666666666664
21.33 18.09 19.92 20.90 17.33 25.07 0 16.73 28.30 13.88 18.04 18.64  TOTAL: 218.235080272871
20.63 20.98 20.21 21.23 18.25 24.96 24.02 0 28.83 18.87 18.08 20.89  TOTAL: 236.95657648251716
0 12.43 0 0 0 24.23 0 0 0 0 7.00 11.00  TOTAL: 54.66112956810631
20.90 19.69 18.76 20.55 16.85 27.33 20.65 13.38 28.57 0 18.98 21.26  TOTAL: 226.90502037372167
18.64 17.57 19.90 17.65 18.64 25.20 20.39 14.50 28.44 21.18 0 18.85  TOTAL: 220.95472927847916
22.00 21.34 17.19 21.50 16.44 25.04 19.92 17.43 28.51 17.07 16.25 0  TOTAL: 222.69181191569473

HEALTH_LOSE
0 11.00 18.84 16.78 19.21 0 21.33 20.63 0 20.90 18.64 22.00  TOTAL: 169.33517126148703
20.64 0 18.81 18.94 20.74 10.50 18.09 20.98 12.43 19.69 17.57 21.34  TOTAL: 199.72756608624317
18.17 20.82 0 18.39 19.84 6.00 19.92 20.21 0 18.76 19.90 17.19  TOTAL: 179.19528767738825
18.89 22.32 21.10 0 20.75 0 20.90 21.23 0 20.55 17.65 21.50  TOTAL: 184.87957954834386
17.77 16.50 13.65 17.86 0 4.00 17.33 18.25 0 16.85 18.64 16.44  TOTAL: 157.29626517273573
26.54 23.25 25.28 23.59 24.85 0 25.07 24.96 24.23 27.33 25.20 25.04  TOTAL: 275.3477490796426
22.56 20.27 20.40 18.55 22.08 0 0 24.02 0 20.65 20.39 19.92  TOTAL: 188.84202424359148
12.68 13.25 9.73 15.10 13.33 0 16.73 0 0 13.38 14.50 17.43  TOTAL: 126.12566074276602
27.54 27.17 28.39 27.83 27.91 20.00 28.30 28.83 0 28.57 28.44 28.51  TOTAL: 301.49232479089966
17.33 10.67 16.00 19.10 20.64 0 13.88 18.87 0 0 21.18 17.07  TOTAL: 154.72824675324676
18.50 19.06 18.44 15.39 18.09 9.67 18.04 18.08 7.00 18.98 0 16.25  TOTAL: 177.49414928392733
19.93 20.06 20.64 18.62 20.11 0 18.64 20.89 11.00 21.26 18.85 0  TOTAL: 190.00734634750592
2
VICTORIES
0 22 32 42 47 44 24 19 48 47 39 49  TOTAL: 413
32 0 31 38 39 46 26 22 44 43 39 46  TOTAL: 406
22 23 0 29 35 35 24 18 39 38 38 44  TOTAL: 345
12 16 25 0 35 34 17 13 38 40 28 44  TOTAL: 302
7 15 19 19 0 32 21 12 41 40 28 41  TOTAL: 275
10 8 19 20 22 0 9 8 31 34 16 37  TOTAL: 214
30 28 30 37 33 45 0 21 47 49 40 48  TOTAL: 408
35 32 36 41 42 46 33 0 45 47 39 46  TOTAL: 442
6 10 15 16 13 23 7 9 0 32 11 27  TOTAL: 169
7 11 16 14 14 20 5 7 22 0 11 31  TOTAL: 158
15 15 16 26 26 38 14 15 43 43 0 40  TOTAL: 291
5 8 10 10 13 17 6 8 27 23 14 0  TOTAL: 141

TURNS_WIN
0 16.32 18.00 16.48 16.19 16.27 18.38 16.53 15.62 14.83 16.92 16.45  TOTAL: 181.9867484672316
17.16 0 17.94 15.92 15.95 16.33 18.81 17.45 15.30 16.28 17.26 17.30  TOTAL: 185.68511156541774
19.14 22.57 0 20.62 20.26 20.43 20.29 24.50 18.44 18.68 18.42 20.05  TOTAL: 223.38626677446808
14.58 15.81 18.48 0 17.43 16.79 16.53 16.85 17.32 16.45 17.57 16.07  TOTAL: 183.87948788311792
