feature,count,min,max,max_abs,mean
DRAGONS_IN_HAND,7602,-1,1,1,0.00868192580899763
HAND_SIZE,7602,-2,1,2,0.190870823467509
HERO_ATTACK_REDUCED,7602,-5,5,5,0.026835043409629
HERO_HEALTH_REDUCED,7602,-19,13,19,0.30320968166272
JADE_PROGRESS,7602,-2,0,2,-0.0110497237569061
M_ATTACK,15066,0,12,12,3.13460772600558
M_HAS_CHARGE,15066,0,1,1,0.0431435019248639
M_HAS_DEAHTRATTLE,15066,0,1,1,0.0854241338112306
M_HAS_DIVINE_SHIELD,15066,0,1,1,0.000995619275189168
M_HAS_INSPIRE,15066,0,0,0,0
M_HAS_LIFE_STEAL,15066,0,1,1,0.0128766759591132
M_HAS_STEALTH,15066,0,1,1,6.63746183459445E-05
M_HAS_TAUNT,15066,0,1,1,0.102416036107792
M_HAS_WINDFURY,15066,0,1,1,0.0103544404619673
M_HEALTH,15066,1,12,12,3.08183990442055
M_MANA_COST,15066,0,9,9,3.40143369175627
M_POISONOUS,15066,0,0,0,0
M_RARITY,15066,0,4,4,2.04327625116156
MANA_REDUCED,3801,-1,9,9,1.77111286503552
MINION_APPEARED,825,1.87973236052948,16.2271802320744,16.2271802320744,5.95410833157921
MINION_ATTACK_REDUCED,13217,-26.4494565420596,129.671370104948,129.671370104948,0.463616176108368
MINION_HEALTH_REDUCED,13217,-8.81169503683859,127.46244884183,127.46244884183,1.74486100196051
MINION_KILLED,1024,1.20901589316183,16.2271802320744,16.2271802320744,4.85601335569276
OVERLOAD_ADDED,7602,0,2,2,0.010655090765588
PIRATE_SYNERGY,7602,-4,6,6,0.0686661404893449
SECRET_REMOVED,7602,-1,0,1,-0.000789265982636148
SPELL_DAMAGE,7602,-1,2,2,0.00276243093922652
WEAPON_DURABILITY,7602,-3,2,3,0.0185477505919495
